# sglang metric families, as inference-perf expects to find them on /metrics.
#
# provenance: upstream-source
# server: sglang
# version: v0.5.17
# source: https://github.com/sgl-project/sglang/tree/v0.5.17/python/sglang (metric registrations, chiefly srt/observability/metrics_collector.py)
# captured: 2026-08-17
#
# Regenerate against a running server:
#   python scripts/capture_server_metric_names.py --server sglang \
#     --base-url http://127.0.0.1:<port>
#
# UNVERIFIED AGAINST A LIVE SERVER. SGLang needs an accelerator to start, and
# inference-perf has no runner with one yet (#641), so this snapshot was derived
# by reading the pinned upstream registration code instead of by scraping a
# running server. Derivation rule, reproducible by hand: every Gauge, Counter,
# Histogram, Summary and GaugeHistogram construction under python/sglang/ at tag
# v0.5.17 whose name literal starts with "sglang:". GaugeHistogram wraps a
# prometheus_client Gauge (python/sglang/srt/utils/gauge_histogram.py), so it is
# recorded as a gauge. prometheus_client's plain-text exposition appends _total
# to counter family names; every SGLang counter already ends in _total, so the
# registered name and the exposed family name coincide here.
#
# Two consequences of source derivation, both of which make this file a strict
# SUPERSET of any single live exposition:
#   - families gated on optional features (disaggregation, hicache, LoRA, spec
#     decoding, grammar) are listed even though a default server never
#     registers them;
#   - metrics-registration is lazy in places, so a freshly started server
#     exposes fewer families than it can register.
# Anything asserting family-for-family equality against a live server must
# therefore wait for a live-scrape regeneration. Run the scheduled workflow
# (.github/workflows/metric_name_drift.yml) once a runner exists, or run
# scripts/capture_server_metric_names.py by hand against your own server, and
# commit the result; provenance flips to live-scrape and the equality check
# stops skipping.
sglang:backup_bandwidth histogram
sglang:backup_pgs histogram
sglang:backuped_tokens_total counter
sglang:cache_hit_rate gauge
sglang:cached_tokens_total counter
sglang:context_len gauge
sglang:cuda_graph_passes_total counter
sglang:decode_sum_seq_lens gauge
sglang:dp_cooperation_forward_execution_seconds_total counter
sglang:dp_cooperation_realtime_tokens_total counter
sglang:e2e_request_latency_seconds histogram
sglang:encoder_cache_entries gauge
sglang:encoder_cache_evictions_total counter
sglang:encoder_cache_hit_files_total counter
sglang:encoder_cache_hit_tokens_total counter
sglang:encoder_cache_size_mb gauge
sglang:encoder_cache_total_files_total counter
sglang:encoder_cache_total_tokens_total counter
sglang:encoder_dp_pending_requests gauge
sglang:encoder_mm_items_per_batch histogram
sglang:encoder_mm_items_per_request histogram
sglang:encoder_model_forward_seconds histogram
sglang:encoder_preprocess_seconds histogram
sglang:encoder_queue_wait_seconds histogram
sglang:encoder_request_e2e_latency_seconds histogram
sglang:encoder_requests_received_total counter
sglang:encoder_requests_total counter
sglang:encoder_transfer_seconds histogram
sglang:eplb_balancedness summary
sglang:eplb_gpu_physical_count histogram
sglang:estimated_flops_per_gpu_total counter
sglang:estimated_read_bytes_per_gpu_total counter
sglang:estimated_write_bytes_per_gpu_total counter
sglang:evicted_tokens_total counter
sglang:eviction_duration_seconds histogram
sglang:failed_session_recoveries_total counter
sglang:forward_execution_seconds_total counter
sglang:full_token_usage gauge
sglang:func_latency_seconds histogram
sglang:fwd_occupancy gauge
sglang:gen_throughput gauge
sglang:generation_tokens_histogram histogram
sglang:generation_tokens_total counter
sglang:get_loads_duration_seconds histogram
sglang:grammar_compilation_time_seconds histogram
